datetime,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Funding rate,openinterest,symbol
2024-12-01 00:00:00,96407.99,96672.49,96260.0,96340.6,532.95388,1733014799999,51410648.796134,154693,246.27919,23756467.1020911,0,0.00012063,0,BTCUSDT
2024-12-01 01:00:00,96340.61,96516.0,96044.21,96106.62,756.83521,1733018399999,72903934.1627258,171501,273.29283,26324707.7217942,0,0.0,0,BTCUSDT
2024-12-01 02:00:00,96106.62,96518.88,95693.88,95776.22,1892.57481,1733021999999,181924955.1524688,299382,846.69151,81416187.5952797,0,0.0,0,BTCUSDT
2024-12-01 03:00:00,95776.22,96441.72,95770.03,96336.75,439.67101,1733025599999,42280948.2767172,134345,241.78429,23248405.7398342,0,0.0,0,BTCUSDT
2024-12-01 04:00:00,96336.76,96515.52,96195.99,96515.52,425.10396,1733029199999,40949246.5687405,96234,266.74539,25696955.8722878,0,0.0,0,BTCUSDT
2024-12-01 05:00:00,96515.51,96515.51,96284.51,96308.83,342.77205,1733032799999,33051773.1004783,104284,113.13367,10909072.6884779,0,0.0,0,BTCUSDT
2024-12-01 06:00:00,96308.82,96483.98,96284.52,96327.66,284.94834,1733036399999,27468408.2330425,65621,128.24562,12363314.081152,0,0.0,0,BTCUSDT
2024-12-01 07:00:00,96327.65,96490.62,96299.1,96472.97,232.07707,1733039999999,22373320.9784138,67765,111.136,10713801.1032674,0,0.0,0,BTCUSDT
2024-12-01 08:00:00,96472.97,97179.04,96424.99,97048.01,1566.85489,1733043599999,151897152.7326182,240066,819.54099,79429890.7915794,0,0.00015900999999999998,0,BTCUSDT
2024-12-01 09:00:00,97048.0,97098.53,96853.82,97030.15,447.52809,1733047199999,43383082.9298822,92024,199.98495,19386922.946964,0,0.0,0,BTCUSDT
2024-12-01 10:00:00,97030.15,97036.0,96535.87,96811.99,372.85396,1733050799999,36088601.9501539,89368,142.03576,13744751.3380603,0,0.0,0,BTCUSDT
2024-12-01 11:00:00,96811.99,97140.0,96811.99,97108.89,416.13015,1733054399999,40366674.9924926,89293,232.22275,22525014.4728266,0,0.0,0,BTCUSDT
2024-12-01 12:00:00,97108.89,97130.56,96774.48,96774.49,619.3967,1733057999999,60068114.7190343,125144,239.91096,23261896.9470994,0,0.0,0,BTCUSDT
2024-12-01 13:00:00,96774.48,97388.78,96660.88,97071.93,1269.18144,1733061599999,123193064.8091273,200987,667.4716,64826792.4508343,0,0.0,0,BTCUSDT
2024-12-01 14:00:00,97071.93,97332.88,96968.25,97289.78,723.39318,1733065199999,70284321.5900636,181254,341.10705,33142564.933016,0,0.0,0,BTCUSDT
2024-12-01 15:00:00,97289.77,97311.95,96960.51,97028.02,648.10982,1733068799999,62957093.2582154,225872,249.81008,24268205.9127031,0,0.0,0,BTCUSDT
2024-12-01 16:00:00,97028.02,97333.0,97000.0,97187.98,1175.84041,1733072399999,114278933.3075083,144044,695.55339,67584472.2880477,0,0.00019581,0,BTCUSDT
2024-12-01 17:00:00,97187.98,97299.98,97035.02,97299.97,499.07351,1733075999999,48484898.8461306,105189,233.47243,22679158.4144025,0,0.0,0,BTCUSDT
2024-12-01 18:00:00,97299.97,97523.41,97095.23,97118.69,690.43406,1733079599999,67225357.4103207,103684,374.78991,36499943.6025396,0,0.0,0,BTCUSDT
2024-12-01 19:00:00,97118.69,97306.59,96958.48,97178.73,602.77541,1733083199999,58542737.3729457,121658,287.68674,27941801.4343385,0,0.0,0,BTCUSDT
2024-12-01 20:00:00,97178.73,97200.0,96800.01,97099.99,608.28813,1733086799999,58975216.2697615,135584,243.31139,23594996.6321392,0,0.0,0,BTCUSDT
2024-12-01 21:00:00,97099.99,97780.0,97052.16,97767.62,672.45318,1733090399999,65529069.0500958,106500,399.15499,38898126.2341891,0,0.0,0,BTCUSDT
2024-12-01 22:00:00,97767.61,97836.0,97384.0,97562.56,769.6421,1733093999999,75083886.4813194,104781,321.89357,31406725.3939127,0,0.0,0,BTCUSDT
2024-12-01 23:00:00,97562.56,97771.04,97170.5,97185.18,949.71316,1733097599999,92606185.6178302,182927,439.64063,42868864.4968011,0,0.0,0,BTCUSDT
2024-12-02 00:00:00,97185.17,97613.08,97068.84,97436.75,1101.06797,1733101199999,107157635.9318181,330525,591.12355,57531326.7765036,0,0.0001,0,BTCUSDT
2024-12-02 00:00:00,97185.17,97613.08,97068.84,97436.75,1101.06797,1733101199999,107157635.9318181,330525,591.12355,57531326.7765036,0,0.0001,0,BTCUSDT
2024-12-02 01:00:00,97436.75,98130.0,97405.26,97964.93,1944.92206,1733104799999,190207313.03015393,299619,1204.59749,117806925.4293144,0,0.0,0,BTCUSDT
2024-12-02 02:00:00,97964.93,98050.0,97445.87,97644.76,911.50431,1733108399999,89020675.2165968,215414,368.03609,35944652.2465572,0,0.0,0,BTCUSDT
2024-12-02 03:00:00,97644.75,97662.6,96350.0,96483.75,1435.45466,1733111999999,139365982.9790051,292057,529.64603,51412547.5644796,0,0.0,0,BTCUSDT
2024-12-02 04:00:00,96483.75,96841.27,96077.0,96708.0,2113.72725,1733115599999,203819731.70533568,425879,1166.31597,112471056.5354807,0,0.0,0,BTCUSDT
2024-12-02 05:00:00,96708.0,96924.0,96349.01,96359.99,704.32952,1733119199999,68087069.4955266,192573,288.56226,27894536.8216549,0,0.0,0,BTCUSDT
2024-12-02 06:00:00,96359.99,96434.02,96141.43,96279.99,774.11264,1733122799999,74515662.6597223,176051,347.53154,33454321.2798475,0,0.0,0,BTCUSDT
2024-12-02 07:00:00,96279.99,96465.38,95749.97,95999.99,1786.28249,1733126399999,171482587.1770673,244182,838.60803,80505343.5150308,0,0.0,0,BTCUSDT
2024-12-02 08:00:00,95999.99,96112.0,94872.0,95053.66,2561.69785,1733129999999,244023658.6383068,488010,1096.91536,104456278.9189927,0,0.00025726,0,BTCUSDT
2024-12-02 09:00:00,95053.66,95546.21,94967.32,95493.18,1323.54796,1733133599999,126068786.416259,355109,793.50067,75585138.4962842,0,0.0,0,BTCUSDT
2024-12-02 10:00:00,95492.81,95496.75,94820.41,94972.01,1297.52641,1733137199999,123362050.2606796,362957,607.59833,57769035.6894795,0,0.0,0,BTCUSDT
2024-12-02 11:00:00,94972.01,95332.8,94868.33,95128.68,1117.08285,1733140799999,106262751.321419,274645,586.07613,55753964.1276989,0,0.0,0,BTCUSDT
2024-12-02 12:00:00,95128.67,95407.64,94766.0,94972.02,1125.17789,1733144399999,107016382.7142518,204649,516.57476,49140315.2631664,0,0.0,0,BTCUSDT
